,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
10,10,31,Patri Guijarro,88,78,82,83,87,85,77,78,78,80,80,89,91,58,70,83,69,66,90,93,75,86,82,87,85,90,84,83,84,86,87,85,87,78,77,71,CDM,4,4,Right,"171cm / 5'7""",74kg / 163lb,CM,26,Spain,Liga F,FC Barcelona,"Long Ball Pass+, Finesse Shot, First Touch, Flair, Incisive Pass, Press Proven, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patri-guijarro/237289,,,,,
11,11,35,Beth Mead,88,82,84,84,88,67,73,83,81,87,85,87,87,73,68,87,88,88,85,74,81,90,74,84,89,90,82,73,68,61,69,68,84,81,84,31,RW,4,5,Right,"163cm / 5'4""",58kg / 128lb,"LW, RM",29,England,Barclays WSL,Arsenal,"First Touch, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/beth-mead/245802,,,,,
12,12,36,Wendie Renard,88,48,66,71,69,91,84,40,55,70,63,80,60,55,67,59,60,58,80,84,66,69,52,33,87,75,84,89,94,92,92,81,77,71,91,84,CB,3,2,Right,"187cm / 6'2""",70kg / 154lb,,34,France,Arkema PL,OL,"Anticipate+, Aerial, Jockey, Long Ball Pass, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/wendie-renard/227316,,,,,
13,13,37,Guro Reiten,88,88,80,85,86,60,66,87,88,86,82,81,82,61,69,87,93,80,84,81,74,84,92,89,88,85,88,65,50,60,60,57,69,91,57,58,LM,3,4,Left,"167cm / 5'6""",60kg / 132lb,"LW, CAM",30,Norway,Barclays WSL,Chelsea,"Dead Ball, Finesse Shot, Incisive Pass, Quick Step, Rapid, Relentless, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/guro-reiten/227323,,,,,
14,14,39,Irene Paredes,88,71,51,67,68,89,84,69,72,39,51,60,41,60,51,51,59,40,85,68,69,57,66,65,91,80,80,89,85,92,87,88,82,72,88,87,CB,3,2,Right,"178cm / 5'10""",67kg / 148lb,,33,Spain,Liga F,FC Barcelona,"Slide Tackle+, Aerial, Bruiser, Jockey, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/irene-paredes/227190,,,,,
15,15,41,Christiane Endler,88,87,82,84,90,42,89,46,35,10,15,63,17,8,13,69,15,11,31,35,17,15,39,42,83,22,45,15,13,15,11,12,60,35,46,21,GK,3,1,Left,"183cm / 6'0""",73kg / 161lb,,33,Chile,Arkema PL,OL,"1v1 Close Down+, Cross Claimer",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/christiane-endler/245956,87.0,82.0,84.0,89.0,90.0
16,16,48,Alexandra Popp,87,76,87,75,80,52,90,73,79,91,86,91,85,88,86,74,74,73,82,64,73,78,77,78,88,83,82,44,94,45,52,48,94,91,91,84,ST,5,3,Left,"174cm / 5'9""",65kg / 143lb,LM,33,Germany,GPFBL,VfL Wolfsburg,"Power Header+, Acrobatic, Aerial, Bruiser, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexandra-popp/226302,,,,,
17,17,51,Sakina Karchaoui,87,89,66,82,87,80,65,92,87,82,55,76,75,59,70,73,89,67,86,78,80,87,90,85,82,87,86,84,66,78,84,79,74,87,50,72,LB,4,5,Left,"160cm / 5'3""",55kg / 121lb,LM,28,France,Arkema PL,Paris SG,"Anticipate, Block, Jockey, Quick Step, Relentless, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sakina-karchaoui/233662,,,,,
18,18,54,Mallory Swanson,87,89,81,80,85,42,71,88,90,88,83,81,80,70,80,84,76,68,85,77,73,85,84,88,85,86,78,43,68,36,41,39,78,89,62,70,LM,5,4,Right,"163cm / 5'4""",54kg / 119lb,"ST, LW",26,United States,NWSL,Chicago Red Stars,"Finesse Shot, First Touch, Flair, Quick Step, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mallory-swanson/232073,,,,,
19,19,58,Rose Lavelle,87,86,79,84,87,45,63,85,86,85,82,74,78,68,74,86,74,69,91,85,72,90,80,85,84,87,79,48,44,41,48,45,64,80,54,63,CAM,4,4,Left,"163cm / 5'4""",56kg / 123lb,CM,29,United States,NWSL,NJ/NY Gotham,"Pinged Pass+, First Touch, Incisive Pass, Technical, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rose-lavelle/232075,,,,,
20,20,59,Alex Morgan,87,79,87,79,87,47,74,78,79,90,93,86,77,77,88,75,71,73,88,82,68,88,83,67,81,92,91,46,83,41,43,39,87,86,76,53,ST,5,4,Left,"170cm / 5'7""",62kg / 137lb,,35,United States,NWSL,San Diego Wave,"First Touch+, Aerial, Finesse Shot, Flair, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-morgan/226301,,,,,
21,21,64,Ewa Pajor,87,88,88,63,89,21,70,89,87,90,91,85,85,89,89,71,47,66,74,49,64,89,90,83,79,90,89,20,74,18,12,10,89,82,81,24,ST,3,3,Right,"167cm / 5'6""",61kg / 134lb,LW,27,Poland,Liga F,FC Barcelona,Rapid+,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ewa-pajor/241846,,,,,
22,22,71,Khadija Shaw,86,69,86,71,78,32,85,70,69,89,90,88,80,77,75,79,59,55,78,68,58,79,55,42,86,86,86,25,91,23,30,20,92,81,92,71,ST,4,3,Right,"180cm / 5'11""",70kg / 154lb,,27,Jamaica,Barclays WSL,Manchester City,"Aerial+, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khadija-shaw/246219,,,,,
23,23,75,Fridolina Rolfö,86,82,83,82,87,83,84,84,81,84,82,85,81,81,85,82,80,63,90,75,74,89,77,68,87,90,81,83,78,83,85,80,86,81,91,68,LB,5,4,Left,"179cm / 5'10""",69kg / 152lb,LW,30,Sweden,Liga F,FC Barcelona,"Jockey+, First Touch, Quick Step, Technical, Trickster, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fridolina-rolfo/227013,,,,,
24,24,78,Selma Bacha,86,87,73,85,82,79,79,92,83,80,65,92,78,49,60,79,92,81,87,80,88,80,94,89,77,81,84,80,58,76,84,87,79,91,71,85,LB,3,4,Left,"161cm / 5'3""",58kg / 128lb,LW,23,France,Arkema PL,OL,"Whipped Pass+, Anticipate, Dead Ball, Intercept, Quick Step, Relentless, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/selma-bacha/265674,,,,,
25,25,80,Lauren Hemp,86,90,76,84,87,63,70,91,90,83,76,83,70,69,68,83,92,80,81,79,86,87,90,91,86,88,70,69,63,56,69,57,78,88,63,62,LW,3,4,Left,"164cm / 5'5""",59kg / 130lb,LM,24,England,Barclays WSL,Manchester City,"Finesse Shot, First Touch, Quick Step, Rapid, Trivela, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lauren-hemp/257008,,,,,
26,26,82,Mary Earps,86,83,83,83,85,41,85,44,36,10,10,62,13,12,26,68,13,12,31,29,14,12,29,40,86,20,35,14,7,11,15,14,64,38,63,31,GK,3,1,Right,"173cm / 5'8""",68kg / 150lb,,31,England,Arkema PL,Paris SG,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mary-earps/247504,83.0,83.0,83.0,85.0,85.0
27,27,84,Lauren James,86,89,81,80,87,40,82,93,86,82,82,85,78,71,70,81,88,73,76,77,81,92,69,77,77,90,74,40,66,30,43,38,90,75,91,68,RW,4,5,Right,"175cm / 5'9""",77kg / 170lb,"CAM, RM",22,England,Barclays WSL,Chelsea,"Trickster+, First Touch, Flair, Long Ball Pass, Quick Step, Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lauren-james/265249,,,,,
28,28,85,Lena Oberdorf,86,62,62,76,75,87,89,70,56,70,56,80,60,57,57,80,67,63,81,80,62,71,71,74,85,80,82,86,79,88,90,81,88,81,92,92,CDM,3,3,Right,"174cm / 5'9""",68kg / 150lb,CM,22,Germany,GPFBL,FC Bayern München,"Bruiser+, Anticipate, Intercept, Long Ball Pass, Power Shot, Press Proven, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lena-oberdorf/248717,,,,,
29,29,88,Grace Geyoro,86,79,72,82,83,83,79,86,73,80,75,74,71,52,59,83,70,65,89,86,72,82,74,82,87,86,79,88,64,80,90,80,81,93,74,71,CM,3,3,Right,"168cm / 5'6""",61kg / 134lb,CAM,27,France,Arkema PL,Paris SG,"Relentless+, Anticipate, Incisive Pass, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grace-geyoro/237197,,,,,
30,30,93,Chloe Kelly,86,88,79,85,85,43,68,89,88,84,76,88,79,71,65,86,89,81,84,84,86,85,85,76,83,86,81,50,50,44,38,38,77,77,75,35,RW,4,4,Right,"168cm / 5'6""",58kg / 128lb,RM,26,England,Barclays WSL,Manchester City,"Dead Ball, Flair, Quick Step, Technical, Trickster, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chloe-kelly/257001,,,,,
31,31,95,Lindsey Horan,86,77,84,86,84,63,79,79,76,87,83,89,86,83,70,88,79,87,90,90,68,85,79,64,86,87,81,69,89,59,60,49,92,83,83,63,CM,3,4,Right,"175cm / 5'9""",67kg / 148lb,CAM,30,United States,Arkema PL,OL,"Incisive Pass+, Acrobatic, Aerial, Dead Ball, Finesse Shot, Long Ball Pass, Power Shot",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lindsey-horan/231432,,,,,
32,32,96,Lea Schüller,86,87,83,70,82,33,74,85,88,91,92,78,72,73,74,68,66,65,77,61,78,80,86,77,87,86,74,31,87,24,26,27,91,82,75,55,ST,3,3,Right,"173cm / 5'8""",60kg / 132lb,,26,Germany,GPFBL,FC Bayern München,"Power Header, Quick Step",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lea-schuller/244302,,,,,
33,33,98,Jill Roord,86,75,84,84,85,52,73,78,72,86,82,86,90,80,74,87,78,80,87,82,81,85,80,75,87,87,82,57,59,59,46,34,80,76,83,44,CAM,4,4,Right,"175cm / 5'9""",63kg / 139lb,"CM, RW",27,Holland,Barclays WSL,Manchester City,"First Touch, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jill-roord/240714,,,,,
34,34,99,Kim Little,86,76,78,83,88,62,66,79,74,89,74,85,74,82,78,86,78,65,89,80,77,88,85,88,89,91,84,74,56,38,75,74,67,92,53,65,CM,4,3,Right,"162cm / 5'4""",57kg / 126lb,"CDM, CAM",34,Scotland,Barclays WSL,Arsenal,"Press Proven+, Incisive Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kim-little/245872,,,,,
35,35,101,Ona Batlle,85,80,50,78,80,80,71,82,78,66,51,53,40,46,47,71,85,40,85,77,77,80,82,85,83,78,82,81,52,84,84,82,70,90,62,72,LB,4,3,Right,"160cm / 5'3""",51kg / 112lb,RB,25,Spain,Liga F,FC Barcelona,"Anticipate, Jockey, Quick Step, Rapid, Relentless, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ona-batlle/253436,,,,,
36,36,101,Millie Bright,85,57,50,69,58,86,87,51,62,38,49,63,46,35,59,57,50,52,84,86,51,59,34,36,84,60,85,80,89,90,87,78,86,78,92,88,CB,4,2,Right,"178cm / 5'10""",76kg / 168lb,,31,England,Barclays WSL,Chelsea,"Bruiser+, Aerial, Anticipate, Intercept, Long Ball Pass, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/millie-bright/238257,,,,,
37,37,101,Lucy Bronze,85,71,68,80,79,84,87,70,71,73,55,85,79,66,62,73,85,72,82,81,82,79,72,70,85,81,87,83,82,85,84,83,83,82,92,82,RB,3,3,Right,"172cm / 5'8""",70kg / 154lb,,32,England,Barclays WSL,Chelsea,"Aerial, Block, Jockey, Long Throw, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lucy-bronze/227246,,,,,
38,38,101,Rachel Daly,85,77,85,76,82,64,76,78,77,89,90,85,75,77,85,79,79,52,80,66,77,84,72,67,85,87,70,45,78,69,68,64,88,81,81,54,ST,3,4,Right,"167cm / 5'6""",62kg / 137lb,CAM,32,England,Barclays WSL,Aston Villa,Finesse Shot,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rachel-daly/235657,,,,,
39,39,101,Caitlin Foord,85,87,78,80,83,45,70,89,85,87,82,73,78,64,59,79,85,54,86,74,75,82,83,88,83,83,79,43,50,45,45,41,72,90,64,60,LW,3,3,Right,"169cm / 5'7""",61kg / 134lb,LM,29,Australia,Barclays WSL,Arsenal,"Quick Step, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/caitlin-foord/227110,,,,,
40,40,101,Merle Frohms,85,85,82,76,84,51,86,45,59,7,8,57,7,7,18,31,9,10,28,38,11,8,61,44,80,20,44,18,10,6,13,11,67,29,70,20,GK,3,1,Right,"175cm / 5'9""",60kg / 132lb,,29,Germany,GPFBL,VfL Wolfsburg,"Far Reach+, Deflector, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/merle-frohms/247789,85.0,82.0,76.0,86.0,84.0
41,41,101,Cristiana Girelli,85,80,85,70,80,46,78,82,79,88,92,79,76,70,87,79,56,78,77,56,77,80,70,71,88,82,81,45,89,39,42,40,93,71,80,77,ST,4,3,Right,"174cm / 5'9""",64kg / 141lb,RW,34,Italy,Calcio A Femminile,Juventus,"Aerial, Finesse Shot, Power Header",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristiana-girelli/227073,,,,,
42,42,101,Kathrin Hendrich,85,73,44,70,73,86,76,73,73,59,42,64,27,30,56,54,62,49,84,78,72,66,79,62,87,80,73,86,84,89,85,85,84,81,71,82,CB,3,2,Right,"173cm / 5'8""",55kg / 121lb,RB,32,Germany,GPFBL,VfL Wolfsburg,"Jockey+, Anticipate, Block, Long Ball Pass, Pinged Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kathrin-hendrich/226375,,,,,
43,43,101,Svenja Huth,85,82,71,82,85,52,68,84,81,80,70,73,68,79,70,81,85,75,85,77,78,84,92,94,81,85,79,62,32,40,59,66,58,92,67,42,RM,4,3,Right,"163cm / 5'4""",54kg / 119lb,"CAM, RW",33,Germany,GPFBL,VfL Wolfsburg,"Anticipate, First Touch, Jockey, Quick Step, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/svenja-huth/227337,,,,,
44,44,101,Ashley Lawrence,85,84,67,82,80,82,77,84,84,73,58,79,76,66,67,82,83,70,84,81,78,78,86,87,85,78,83,80,73,84,85,81,84,84,72,80,RB,4,3,Right,"164cm / 5'5""",60kg / 132lb,,29,Canada,Barclays WSL,Chelsea,"Jockey+, Quick Step, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ashley-lawrence/227392,,,,,
45,45,101,Eugénie Le Sommer,85,70,85,79,85,43,74,69,71,90,86,86,81,82,83,83,79,70,83,69,81,87,77,82,83,87,83,33,87,42,40,33,87,70,80,59,ST,5,4,Right,"161cm / 5'3""",58kg / 128lb,LW,35,France,Arkema PL,OL,"First Touch, Incisive Pass, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/eugenie-le-sommer/227331,,,,,
46,46,101,Clara Mateo,85,84,83,80,84,59,73,84,84,86,85,81,85,79,72,83,73,74,85,79,76,85,77,78,80,86,85,60,73,56,59,48,82,92,68,60,RM,3,4,Right,"168cm / 5'6""",60kg / 132lb,"CAM, RW",26,France,Arkema PL,Paris FC,"Finesse Shot, First Touch, Flair, Incisive Pass, Relentless, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/clara-mateo/245697,,,,,
47,47,101,Katie McCabe,85,80,74,80,80,81,82,81,79,79,76,75,70,69,74,68,87,75,84,79,78,78,88,79,80,80,84,81,74,86,79,78,83,92,73,94,LB,3,4,Left,"164cm / 5'5""",55kg / 121lb,"LW, LM",28,Republic of Ireland,Barclays WSL,Arsenal,"Bruiser, Long Ball Pass, Long Throw, Rapid, Slide Tackle, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/katie-mc-cabe/265239,,,,,
48,48,101,Vivianne Miedema,85,82,84,70,85,32,80,84,80,86,85,86,84,83,75,69,64,73,79,56,76,85,80,73,85,87,90,27,82,22,30,23,92,83,82,70,ST,4,4,Right,"178cm / 5'10""",65kg / 143lb,CAM,28,Holland,Barclays WSL,Manchester City,"Finesse Shot, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vivianne-miedema/233746,,,,,
49,49,101,Chiamaka Nnadozie,85,84,83,80,86,63,84,63,62,14,11,60,9,7,13,55,12,13,29,22,14,17,48,42,79,21,57,23,12,22,13,10,71,36,61,35,GK,3,1,Right,"180cm / 5'11""",69kg / 152lb,,23,Nigeria,Arkema PL,Paris FC,"Deflector+, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/chiamaka-nnadozie/246641,84.0,83.0,80.0,84.0,86.0
50,50,101,Asisat Oshoala,85,91,84,78,85,50,85,92,91,82,90,78,79,85,72,75,79,75,80,77,77,87,91,84,82,82,72,50,78,45,47,49,90,78,92,75,ST,4,4,Right,"169cm / 5'7""",60kg / 132lb,,29,Nigeria,NWSL,Bay FC,"Power Shot, Quick Step, Rapid, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/asisat-oshoala/246629,,,,,
51,51,101,Alessia Russo,85,82,83,69,84,39,72,81,82,86,87,85,78,77,64,69,64,65,78,57,64,86,81,73,80,84,84,34,88,29,37,35,92,72,79,49,ST,3,4,Right,"173cm / 5'8""",64kg / 141lb,CAM,25,England,Barclays WSL,Arsenal,"Aerial, Finesse Shot, First Touch, Power Header, Rapid",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessia-russo/258980,,,,,
52,52,101,Becky Sauerbrunn,85,61,44,61,69,87,83,63,60,50,44,45,42,37,43,61,51,36,71,63,46,65,60,68,77,74,82,84,83,92,86,82,88,72,91,76,CB,3,2,Right,"170cm / 5'7""",64kg / 141lb,,39,United States,NWSL,Portland Thorns,"Bruiser, Intercept, Jockey",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/becky-sauerbrunn/226177,,,,,
53,53,101,Kailen Sheridan,85,85,82,80,85,41,84,38,45,15,10,60,17,9,25,42,13,15,24,33,13,14,58,46,81,26,43,13,17,18,14,13,65,40,64,26,GK,2,1,Right,"176cm / 5'9""",72kg / 159lb,,29,Canada,NWSL,San Diego Wave,"Far Reach+, Far Throw, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kailen-sheridan/237673,85.0,82.0,80.0,84.0,85.0
54,54,101,Keira Walsh,85,64,46,81,79,79,74,63,65,70,41,56,42,42,55,83,67,51,92,88,53,78,74,68,83,83,85,77,60,82,84,81,69,88,70,70,CDM,3,3,Right,"165cm / 5'5""",64kg / 141lb,CM,27,England,Liga F,FC Barcelona,"Pinged Pass+, Jockey, Press Proven, Tiki Taka",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/keira-walsh/242830,,,,,
55,55,101,Leah Williamson,85,74,45,73,72,86,76,73,75,31,45,48,46,45,50,63,60,67,82,88,60,61,72,73,88,83,82,86,84,90,84,82,87,70,77,80,CB,3,3,Right,"170cm / 5'7""",57kg / 126lb,CDM,27,England,Barclays WSL,Arsenal,"Anticipate, Bruiser, Jockey, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leah-williamson/246426,,,,,
56,56,149,Sandy Baltimore,84,84,72,85,84,64,69,89,80,84,73,68,72,62,74,87,87,71,87,81,90,84,81,91,72,87,80,70,43,66,67,61,65,73,71,58,RM,2,3,Left,"156cm / 5'1""",62kg / 137lb,"CM, RW",24,France,Barclays WSL,Chelsea,"Incisive Pass, Quick Step, Technical, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sandy-baltimore/261733,,,,,
57,57,149,Ann-Katrin Berger,84,85,84,80,84,45,81,40,52,9,7,60,6,6,35,39,8,11,24,20,12,11,38,40,82,14,58,10,15,9,10,10,66,29,67,19,GK,3,1,Right,"180cm / 5'11""",63kg / 139lb,,33,Germany,NWSL,NJ/NY Gotham,"Cross Claimer+, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ann-katrin-berger/258310,85.0,84.0,80.0,81.0,84.0
58,58,149,Hannah Blundell,84,70,54,72,73,85,72,69,71,65,56,61,43,43,52,48,79,56,84,76,63,67,69,75,84,80,76,86,75,87,86,83,75,82,65,77,LB,4,2,Right,"163cm / 5'4""",54kg / 119lb,RB,30,England,Barclays WSL,Manchester Utd,"Anticipate, Bruiser",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hannah-blundell/247797,,,,,
59,59,149,Lisa Boattin,84,75,66,81,81,81,85,76,75,61,61,76,75,45,69,77,79,76,85,80,81,80,77,75,89,83,82,83,70,86,80,79,84,88,86,79,LB,4,3,Left,"160cm / 5'3""",53kg / 117lb,"LM, CB",27,Italy,Calcio A Femminile,Juventus,"Bruiser, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lisa-boattin/227096,,,,,
60,60,149,Kadeisha Buchanan,84,67,44,58,65,86,84,66,68,46,34,63,49,43,45,47,31,56,75,71,51,61,63,63,78,68,81,85,81,91,84,84,87,79,88,80,CB,3,2,Right,"170cm / 5'7""",65kg / 143lb,,28,Canada,Barclays WSL,Chelsea,"Intercept+, Anticipate, Jockey, Long Ball Pass, Slide Tackle",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kadeisha-buchanan/227383,,,,,
61,61,149,Mariona,84,77,84,84,85,57,77,78,76,84,89,75,87,56,87,84,84,72,88,80,75,85,85,93,85,85,84,41,61,57,65,61,71,91,75,65,LW,4,4,Right,"166cm / 5'5""",64kg / 141lb,"ST, LM",28,Spain,Barclays WSL,Arsenal,"Tiki Taka+, First Touch, Flair, Incisive Pass, Relentless, Technical, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mariona/237288,,,,,
